product_name,reviews,source
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"	Sonia Gupta
5.0 out of 5 stars
 Value for money
Reviewed in India on 9 June 2024
Size: 32 inches | HD Smart Bezel-less DesignVerified Purchase
Product was intact, delivery was smooth. Open box inspection was done. It was delivered to our room where it was to be installed. It had all accessories except wall-top mount/table top, but that was provided by the Samsung , free of cost.
Display, Performance, Remote control all are functioning properly as till date. Picture quality, Sound, etc., are good too. Since it's a HD and Smart TV, the Samsung Engineer installed the Smart App and so, we can see YouTube, Samsung Tv and an other channel or two without making an account, but Netflix, and others need an account for viewing. But his is no problem. Because I purchased it for my parents and they aren't interested in watching those channels at all. The Samsung Tv has 150 channels, starting from 1000. I viewed them one by one. All were good, mostly in English. I am impressed. 👍👍👍👍👍👍😁😁😁
The Samsung Engineer helped us a lot, in other things too, like removing the set-top box stand from one room to fix in their room, and adjusting all wires, audio-visual pins and plugs, etc.. But this was not included in his service, so, we paid him for the extra service, though he was quite reluctant to accept the payment. You know, his service included only in installing Tv and downloading Smart App to start the function. But the other service wasn't included. He did it as kindness towards us, and we paid him as a token of gratitude. With God's Grace, all was done smoothly. Thanks to Lord for providing help in his form. And thanks to dealer and Samsung brand too for providing such service. 👍👍👍👍👍👍🙏🙏🙏🙏🙏 💐💐💐💐💐

Read more
23 people found this helpful
Helpful
Report",Amazon
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"	Sohanlal r.p.
4.0 out of 5 stars
 Build quality and service is good. Features , speed feels like too old smart tv for 2025 period .
Reviewed in India on 2 February 2025
Size: 32 inches | HD Smart Bezel-less DesignVerified Purchase
Quality is good . 4 stars for not having google play store*** for apps . Hope its os will get apps to run as monitor more than tv. A bit slow at speed in comparison to modern tv. Felt like old smart tv.sound quality is enough for a single room .voice command was expected .

Helpful
Report",Amazon
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"	ashwini
5.0 out of 5 stars
 Must read the review
Reviewed in India on 10 March 2025
Size: 32 inches | HD Smart Bezel-less DesignVerified Purchase
Product is very good but I will suggest if you are paying 13000 and purchasing in online mode then pls pay 2000 more and go offline and buy from shop. They will give you same model but built quality and RAM and ROM will be more updated version. Also remember if you think online and offline products are same then you are wrong.

7 people found this helpful
Helpful
Report",Amazon
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"	Amazon Customer
4.0 out of 5 stars
 Good tv
Reviewed in India on 26 February 2025
Size: 32 inches | HD Smart Bezel-less DesignVerified Purchase
Good tv with price flatuation, bought at above 15000 but after some days its cost show near 13000, overall tv performance is good but we need some time when we power on the tv to use its all functions like YouTube or samsung tv.

3 people found this helpful
Helpful
Report",Amazon
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"	Luv
5.0 out of 5 stars
 Love it ❤️
Reviewed in India on 15 March 2025
Size: 32 inches | HD SmartVerified Purchase
I bought this just 10999... superb picture quality satisfied with sound..

One person found this helpful
Helpful
Report",Amazon
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"	Piyush
5.0 out of 5 stars
 Nice one
Reviewed in India on 16 March 2025
Size: 32 inches | HD Smart Bezel-less DesignVerified Purchase
Good quality

Helpful
Report",Amazon
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"	uttam lakra
3.0 out of 5 stars
 Stand missing
Reviewed in India on 4 February 2025
Size: 32 inches | HD Smart Bezel-less DesignVerified Purchase
Product is good but stand was missing.not fully satisfied

One person found this helpful
Helpful
Report",Amazon
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"	T Rex
4.0 out of 5 stars
 Great quality tv at a decent price but lacks alof of features
Reviewed in India on 8 January 2024
Size: 32 inches | HD Smart Bezel-less DesignVerified Purchase
NOTE: TV TABLE STAND IS NOT PROVIDED IN THE BOX. No Bluetooth support. Only wifi 2.4ghz is supported, no 5ghz wifi support. PICTURE & AUDIO quality is SUPERB. Supports dolby and hdr.
Buy this Only if u want reliability (samsung displays are very reliable and last long unlike cheap counterparts) , good picture and audio quality.

Bought the bezel less 2022 variant for 14,990 rupees.
Samsung is a reliable brand. Picture & quality is good. Although it's not a full hd 1080p display, at 32 inches its not apparent.

User interface is okay. Netflix app works smooth but prime video app is laggy. Tizen os is fine. So no google play store. Doesn't support chromecast, only supports Mira cast which is a different casting protocol.

Feature wise tizen os is bare minimum. But you can easily buy an android tv box to get google play functionality if u want to run android apps.

Brands like tcl, ifalconn, redmi offer more features because they run google tv\ android tv but their hardware is not reliable.

This samsung 32inches tv is great deal if u buy at 14k inr. Great picture clarity. Good sound quality. HDR works good. Samsung has great after sales customer service. So if u want good quality and reliable TV and don't care too much about having android tv os, go for this. It's a great product.

Read more
213 people found this helpful
Helpful
Report",Amazon
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"	Sonia Gupta
5.0 out of 5 stars
 Value for money
Reviewed in India on 9 June 2024
Size: 32 inches | HD Smart Bezel-less DesignVerified Purchase
Product was intact, delivery was smooth. Open box inspection was done. It was delivered to our room where it was to be installed. It had all accessories except wall-top mount/table top, but that was provided by the Samsung , free of cost.
Display, Performance, Remote control all are functioning properly as till date. Picture quality, Sound, etc., are good too. Since it's a HD and Smart TV, the Samsung Engineer installed the Smart App and so, we can see YouTube, Samsung Tv and an other channel or two without making an account, but Netflix, and others need an account for viewing. But his is no problem. Because I purchased it for my parents and they aren't interested in watching those channels at all. The Samsung Tv has 150 channels, starting from 1000. I viewed them one by one. All were good, mostly in English. I am impressed. 👍👍👍👍👍👍😁😁😁
The Samsung Engineer helped us a lot, in other things too, like removing the set-top box stand from one room to fix in their room, and adjusting all wires, audio-visual pins and plugs, etc.. But this was not included in his service, so, we paid him for the extra service, though he was quite reluctant to accept the payment. You know, his service included only in installing Tv and downloading Smart App to start the function. But the other service wasn't included. He did it as kindness towards us, and we paid him as a token of gratitude. With God's Grace, all was done smoothly. Thanks to Lord for providing help in his form. And thanks to dealer and Samsung brand too for providing such service. 👍👍👍👍👍👍🙏🙏🙏🙏🙏 💐💐💐💐💐

Read more
23 people found this helpful
Helpful
Report",Amazon
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"	Sohanlal r.p.
4.0 out of 5 stars
 Build quality and service is good. Features , speed feels like too old smart tv for 2025 period .
Reviewed in India on 2 February 2025
Size: 32 inches | HD Smart Bezel-less DesignVerified Purchase
Quality is good . 4 stars for not having google play store*** for apps . Hope its os will get apps to run as monitor more than tv. A bit slow at speed in comparison to modern tv. Felt like old smart tv.sound quality is enough for a single room .voice command was expected .

Helpful
Report",Amazon
"Apple iPhone 16 (Black, 128 GB)","	Ashwani Jha
5.0 out of 5 stars
 iPhone 16 Review – A Seamless Upgrade Experience! ⭐⭐⭐⭐⭐
Reviewed in India on 9 February 2025
Colour: WhiteSize: 128 GBVerified Purchase
Upgrading to the iPhone 16 was an absolute breeze! Apple has once again refined the transition process, making data transfer from my old iPhone effortless. With just a few taps, everything—from apps to settings—moved over flawlessly, making the switch feel seamless.

The performance is top-notch, with unparalleled smoothness in navigation, app responsiveness, and multitasking. The enhanced battery life, display quality, and camera features make it a worthy upgrade for anyone looking for the best smartphone experience.

If you’re considering an upgrade, the iPhone 16 won’t disappoint. Apple continues to set the standard for premium smartphones! Highly recommended!

19 people found this helpful
Helpful
Report",Amazon
